DGP zones,zone_links,latitude,longitude,postal districts,areas,population
Ang Mo Kio,/wiki/Ang_Mo_Kio,1.3701666666666668,103.84561944444445,20,13.94,165710
Bedok,/wiki/Bedok,1.3236,103.92733888888891,16,21.69,281300
Bishan,"/wiki/Bishan,_Singapore",1.350833333333333,103.85138888888888,20,7.62,88490
Boon Lay,/wiki/Boon_Lay_Planning_Area,1.3477353,103.7088263,,8.23,30
Bukit Batok,/wiki/Bukit_Batok,1.3590305555555555,103.76368055555555,"21, 23",11.13,144410
Bukit Merah,/wiki/Bukit_Merah,1.2819055555555554,103.82391944444444,"2, 3, 4, 5, 9, 10",14.34,151870
Bukit Panjang,/wiki/Bukit_Panjang,1.3808333333333334,103.7625,"21, 23",8.99,140820
Bukit Timah,/wiki/Bukit_Timah,1.3294111111111109,103.80207777777777,"10, 11, 21",17.53,77280
Central Water Catchment,/wiki/Central_Water_Catchment,1.3666666666666667,103.8,25,37.15,0
Changi,/wiki/Changi,1.345,103.98319444444445,17,40.61,2080
Changi Bay,/wiki/Changi_Bay,1.3168496,104.02064940000001,,1.7,0
Choa Chu Kang,/wiki/Choa_Chu_Kang,1.3833333333333333,103.75,23,6.11,187510
Clementi,"/wiki/Clementi,_Singapore",1.3161805555555557,103.76493888888888,"5, 21",9.49,93000
Downtown Core,/wiki/Downtown_Core,1.2866666666666666,103.85361111111109,"1, 6, 7",4.34,2510
Geylang,/wiki/Geylang,1.3205555555555557,103.88694444444445,"13, 14, 19",9.64,111610
Hougang,/wiki/Hougang,1.3717777777777778,103.89305555555555,19,13.93,223010
Jurong East,/wiki/Jurong_East,1.3288833333333334,103.73994722222223,22,17.83,81180
Jurong West,/wiki/Jurong_West,1.3397222222222225,103.70444444444445,22,14.69,266720
Kallang,/wiki/Kallang,1.3108333333333333,103.86555555555556,"1, 7, 12, 13, 14, 15",9.17,101420
Lim Chu Kang,/wiki/Lim_Chu_Kang,1.4318440000000001,103.71929499999999,24,17.3,110
Mandai,/wiki/Mandai,1.4116666666666666,103.78638888888891,25,11.77,2090
Marina East,/wiki/Marina_East,1.2911576,103.8720195,,1.82,0
Marina South,/wiki/Marina_South,1.2692,103.8579,,1.62,0
Marine Parade,/wiki/Marine_Parade,1.3030555555555556,103.90777777777778,15,6.12,47250
Museum,/wiki/Museum_Planning_Area,1.296611111111111,103.8485,09,0.83,420
Newton,"/wiki/Newton,_Singapore",1.3071666666666668,103.837,9,2.07,7640
North-Eastern Islands,/wiki/North-Eastern_Islands,1.4043812,103.983914,,42.88,50
Novena,"/wiki/Novena,_Singapore",1.3208583333333332,103.84243055555555,"8, 11, 12",8.98,48950
Orchard,mw-redirect,1.305272,103.8328757,,0.96,990
Outram,"/wiki/Outram,_Singapore",1.2848888888888887,103.84388888888887,3,1.37,20030
Pasir Ris,/wiki/Pasir_Ris,1.3720944444444445,103.94737222222223,"17, 18",15.02,146920
Paya Lebar,/wiki/Paya_Lebar,1.3538993,103.88782052662438,,11.69,40
Pioneer,"/wiki/Pioneer,_Singapore",1.3375883999999998,103.69741040000001,,12.1,90
Punggol,/wiki/Punggol,1.3982777777777775,103.90897222222223,19,9.34,161570
Queenstown,"/wiki/Queenstown,_Singapore",1.2941666666666665,103.78612777777779,"3, 5",20.43,97870
River Valley,"/wiki/River_Valley,_Singapore",1.3083982,103.88614890000001,,1.48,9930
Rochor,/wiki/Rochor,1.3051111111111109,103.85088888888887,07,1.62,13450
Seletar,/wiki/Seletar,1.405333333333333,103.86627777777777,28,10.25,250
Sembawang,/wiki/Sembawang,1.4490928,103.82005550000001,,12.34,87380
Sengkang,/wiki/Sengkang,1.3916666666666666,103.89444444444445,"19, 28",10.59,240640
Serangoon,/wiki/Serangoon,1.3553555555555556,103.86786944444445,"19, 28",10.1,117310
Simpang,/wiki/Simpang,1.4452954,103.8497425,,5.13,0
Singapore River,/wiki/Singapore_River,1.28917835,103.84515431766009,,0.96,2980
Southern Islands,/wiki/Southern_Islands,1.2470271000000002,103.8296886,,6.07,1800
Straits View,/wiki/Straits_View,1.2785521,103.8505526,,0.77,0
Sungei Kadut,/wiki/Sungei_Kadut,1.418,103.75100277777777,25,15.99,780
Tampines,/wiki/Tampines,1.3495916666666663,103.95678888888891,"16, 18",20.89,257110
Tanglin,/wiki/Tanglin,1.3075843999999999,103.8013147,,7.63,20960
Tengah,"/wiki/Tengah,_Singapore",1.3624758999999997,103.7099298,,7.4,10
Toa Payoh,/wiki/Toa_Payoh,1.3343027777777776,103.85632777777779,"11, 12, 13",8.17,120480
Tuas,/wiki/Tuas,1.3166666666666669,103.65,22,30.04,70
Western Islands,"/wiki/Western_Islands,_Singapore",1.2483605,103.6720186,,39.47,10
Western Water Catchment,/wiki/Western_Water_Catchment,1.3869444444444443,103.69194444444445,24,69.46,720
Woodlands,"/wiki/Woodlands,_Singapore",1.4362694444444444,103.78670555555556,25,13.59,252530
Yishun,/wiki/Yishun,1.4303666666666668,103.83536388888888,"26, 27, 28",21.24,214940
